"Population","Latitude","Longitude","Distance","SE","Temperature","Salinity","pH","Chlorophylla","DO"
"BIS",41.545,-71.431,4.76,8.825,23,30,7.9,4.9,8.2
"GB",41.654,-71.445,0.47,14.596,24,28,7.4,18.8,5.7
"NAR",41.505,-71.453,15.41,2.027,25,18,7.6,4.6,7
"PVD",41.816,-71.391,1.49,59.86,23,25,7.4,8.1,4.9
