Population,Latitude,Longitude,SewageEffluent,Temperature,Temperature_Min,Temperatue_Max,Salinity,Salinity_Min,Salinity_Max,pH,DO,May_Temperature,May_Temperature_Min ,May_Temperature_Max ,May_Salinity,May_Salinity_Min,May_Salinity_Max,May_pH ,May_DO ,June_Temperature,June_Temperature_Min ,June_Temperature_Max ,June_Salinity ,June_Salinity_Min,June_Salinity_Max,June_pH,June_DO ,July_Temperature,July_Temperature_Min ,July_Temperature_Max ,July_Salinity,July_Salinity_Min,July_Salinity_Max,July_pH,July_DO,August_Temperature,August_Temperature_Min ,August_Temperature_Max ,August_pH,September_Temp,September_Temperatue_Min ,September_Temperature_Max 
BAR,41.74,-71.31,17.88,22.08,12.20,28.50,29.08,21.50,35.50,7.69,5.37,16.8,12.2,21.8,26.6,25.0,28.5,7.8,6.8,21.21,15.20,24.60,27.85,25.00,30.50,7.78,5.71,24.35,21.10,27.50,28.38,22.50,31.50,7.66,5.05,25.28,22.30,28.50,7.59,21.01,19.20,24.90
BIS,41.55,-71.43,8.82,21.39,9.24,31.58,27.32,9.36,31.13,7.94,7.05,15.4,9.2,24.6,25.4,9.4,28.7,8.0,10.5,21.14,16.65,28.66,26.63,14.19,29.44,7.97,8.09,24.51,20.63,30.22,28.91,16.81,31.13,7.87,5.41,25.15,21.67,30.54,7.88,21.76,16.04,27.73
GB,41.65,-71.45,14.60,22.27,11.40,29.00,29.58,22.00,33.50,7.67,4.57,16.9,11.4,21.1,28.7,25.0,32.0,7.8,7.0,21.44,16.00,26.00,28.32,22.00,31.00,7.78,5.61,24.83,20.00,28.20,29.52,26.90,32.30,7.51,3.38,25.01,22.00,29.00,7.59,21.65,17.80,26.20
KIC,41.70,-71.25,56.31,21.50,11.90,27.70,28.31,21.00,33.00,7.84,6.07,16.1,11.9,18.9,27.6,25.0,30.0,8.0,7.7,20.56,16.20,23.30,28.16,26.00,30.00,7.94,6.27,24.21,21.70,25.70,28.10,24.00,30.00,7.79,5.19,24.55,21.10,27.70,7.83,21.90,19.10,26.12
MCD,41.55,-71.20,12.11,22.24,6.49,33.94,20.68,3.27,29.46,7.69,8.76,17.0,8.8,27.1,21.1,3.3,28.8,8.0,10.0,22.88,17.36,31.77,21.71,9.35,25.84,7.64,7.53,26.39,21.57,33.94,19.33,11.40,23.01,7.58,3.88,26.33,21.35,32.28,7.50,21.50,12.84,27.62
PVD,41.82,-71.39,59.86,21.50,8.78,27.99,20.46,5.01,33.67,7.63,6.07,15.1,8.8,20.5,17.0,8.3,28.9,7.7,8.5,19.75,15.62,24.26,18.66,5.01,29.10,7.69,6.95,24.45,19.73,27.99,20.96,8.67,31.66,7.68,5.43,24.58,21.67,27.98,7.62,22.01,18.96,25.76
