Site,Lon,Lat,,,
BAR,-71.305,41.741,,,
BIS,-71.431,41.545,,,
GB,-71.445,41.654,,,
GHP,-71.62,41.374,,,
KIC,-71.247,41.698,,,
MCD,-71.203,41.547,,,
NAR,-71.453,41.505,,,
PVD,-71.391,41.816,,,
